page_id,device_type_id,page_name,url,file_name,edit_flg,author,description,keyword,update_url,create_date,update_date,meta_robots,discriminator_type
"17","10","お問い合わせ(完了ページ)","contact_complete","Contact/complete","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"18","10","会員登録(入力ページ)","entry","Entry/index","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"20","10","会員登録(完了ページ)","entry_complete","Entry/complete","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"21","10","特定商取引に関する法律に基づく表記","help_tradelaw","Help/tradelaw","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"22","10","本会員登録(完了ページ)","entry_activate","Entry/activate","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"24","10","商品購入/お届け先の指定","shopping_shipping","Shopping/shipping","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"28","10","商品購入/ご注文完了","shopping_complete","Shopping/complete","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"29","10","プライバシーポリシー","help_privacy","Help/privacy","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"30","10","商品購入ログイン","shopping_login","Shopping/login","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"31","10","非会員購入情報入力","shopping_nonmember","Shopping/nonmember","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"32","10","商品購入/お届け先の追加","shopping_shipping_edit","Shopping/shipping_edit","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:02","noindex","pagelayout"
"33","10","商品購入/お届け先の複数指定(お届け先の追加)","shopping_shipping_multiple_edit","Shopping/shipping_multiple_edit","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:02","noindex","pagelayout"
"34","10","商品購入/購入エラー","shopping_error","Shopping/shopping_error","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:02","noindex","pagelayout"
"35","10","ご利用ガイド","help_guide","Help/guide","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:02",,"pagelayout"
"36","10","パスワード再発行(入力ページ)","forgot","Forgot/index","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:02",,"pagelayout"
"37","10","パスワード再発行(完了ページ)","forgot_complete","Forgot/complete","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:02","noindex","pagelayout"
"19","10","ご利用規約","help_agreement","Help/agreement","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"25","10","商品購入/お届け先の複数指定","shopping_shipping_multiple","Shopping/shipping_multiple","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"23","10","商品購入","shopping","Shopping/index","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"7","10","MYページ/お届け先一覧","mypage_delivery","Mypage/delivery","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"8","10","MYページ/お届け先追加","mypage_delivery_new","Mypage/delivery_edit","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"39","10","商品購入/配送方法選択","shopping_delivery","Shopping/index","2",,,,,"2017-03-07 01:15:03","2017-03-07 01:15:03","noindex","pagelayout"
"40","10","商品購入/支払方法選択","shopping_payment","Shopping/index","2",,,,,"2017-03-07 01:15:03","2017-03-07 01:15:03","noindex","pagelayout"
"41","10","商品購入/お届け先変更","shopping_shipping_change","Shopping/index","2",,,,,"2017-03-07 01:15:03","2017-03-07 01:15:03","noindex","pagelayout"
"42","10","商品購入/お届け先変更","shopping_shipping_edit_change","Shopping/index","2",,,,,"2017-03-07 01:15:03","2017-03-07 01:15:03","noindex","pagelayout"
"43","10","商品購入/お届け先の複数指定","shopping_shipping_multiple_change","Shopping/index","2",,,,,"2017-03-07 01:15:03","2017-03-07 01:15:03","noindex","pagelayout"
"38","10","パスワード変更(完了ページ)","forgot_reset","Forgot/reset","2",,,,,"2017-03-07 01:15:02","2017-03-07 01:15:05","noindex","pagelayout"
"44","10","MYページ/お届け先編集","mypage_delivery_edit","Mypage/delivery_edit","2",,,,,"2017-03-07 01:15:05","2017-03-07 01:15:05","noindex","pagelayout"
